Escuela,Latitud,Longitud
"ESC- Nº 3 ""DEL CENTENARIO""",-27.470343,-58.8399214
"ESC- Nº 2 ""DOMINGO F- SARMIENTO""",-28.5841599,-58.00719220000001
"ESC- Nº 10 ""R- DE ESCALADA DE SAN MARTÍN""",-30.0895819,-58.7821958
"ESC- Nº 402 ""GENARO BERÓN DE ASTRADA""",-27.4836397,-58.8455869
"COLEGIO POLIMODAL ""IBERÁ""",-28.5841599,-58.00719220000001
"ESC- Nº 9 ""GUSTAVO SOLANO GÓMEZ""",-27.4766082,-58.84668060000001
"ESC- Nº 11 ""DR- LISANDRO SEGOVIA""",-27.4831936,-58.836124
"ESC- Nº 290 ""DR- JUAN R- VIDAL""",-27.3702201,-58.5112662
"ESC- Nº 850 ""GDOR- JOSÉ M- DE LLANO""",-28.5841599,-58.00719220000001
"ESC- Nº 291 ""DR- EUDORO VARGAS GÓMEZ""",-28.5841599,-58.00719220000001
"ESC- Nº 299 ""JUAN ALFREDO ASUAD""",-27.4828601,-58.85188540000001
"COLEGIO ""GRAL- SAN MARTÍN""",-27.4621287,-58.841824
"ESC- Nº 4 ""MARIANO MORENO""",-27.4647336,-58.83278720000001
"ESCUELA NORMAL ""DR- JUAN PUJOL""",-27.4711277,-58.8363363
"ESC- Nº 1 ""MANUEL BELGRANO""",-28.5841599,-58.00719220000001
"ESC- TÉCNICA Nº 2 ""BERNARDINO RIVADAVIA""",-28.5841599,-58.00719220000001
"ESC- TÉCNICA Nº 1 ""JUANA MANSO""",-27.483036,-58.8273504
"ESC- Nº 607 ""BERNARDINO RIVADAVIA""",-27.4818859,-58.8294219
"ESC- Nº 7 ""ISABEL E- VERA""",-27.4775751,-58.824365
"ESC- Nº 275 ""ISIDRO E- MOREIRA""",-28.5841599,-58.00719220000001
"ESC- Nº 146 ""CRUCERO GRAL- BELGRANO""",-28.5841599,-58.00719220000001
"ESC- Nº 345 ""FRANCISCO REGIS ORTIZ""",-27.493009,-58.8013585
"ESC- COMERCIAL ""PTE- DR- ARTURO U- ILLIA""",-28.5841599,-58.00719220000001
"ESC- Nº 956 ""N- SRA- DE LA MEDALLA MILAGROSA""",-27.5064156,-58.7963034
"ESC- Nº 139 ""AMBROSIO DE ACOSTA""",-27.483282,-58.7992072
"COL- POLIM- ""CAUTIVAS CORRENTINAS""",-28.5841599,-58.00719220000001
"ESC- Nº 368 ""MAESTROS CORRENTINOS""",-27.5046422,-58.7820261
"COL- SEC- ""FRAY JOSÉ DE LA QUINTANA""",-27.5151093,-58.7904886
"ESC- SECUNDARIA ""DR- JOSÉ FCO- SOLER""",-28.5841599,-58.00719220000001
"ESC- Nº 666 ""PEDRO BENJAMÍN SERRANO""",-27.4846676,-58.7910565
"COL- SEC- ""FERNANDO PIRAGINE NIVEYRO""",-27.4491257,-58.7582896
"ESC- Nº 353 ""DR- FÉLIX MARÍA GÓMEZ""",-29.7028771,-57.090231
"COLEGIO ""MANUEL VICENTE FIGUERERO""",-27.4964794,-58.83444470000001
"ESC- Nº 34 ""EL SANTO DE LA ESPADA""",-27.4985053,-58.82648829999999
"ESC- Nº 404 ""DR- EDUARDO WILDE""",-28.5841599,-58.00719220000001
"ESC- COMERCIAL ""DR- LUIS FEDERICO LELOIR""",-27.5030331,-58.8320218
"INST- CENTRO DE EDUC- FÍSICA Nº 1 ""PROF- E- J- ROBLES""",-28.5841599,-58.00719220000001
ESCUELA TECNICA U-O-C-R-A-,-27.4876647,-58.8343782
"CDI ""RAYITO DE LUZ""",-27.4939688,-58.8288525
"CDI ""GRILLITO SALTARIN""",-27.4969007,-58.8343715
"CDI ""ARA PORA""",-27.498815,-58.827241
"ESC- Nº 444 ""SALVADOR MARÍA DÍAZ""",-27.5051322,-58.81117630000001
"ESC- ESPECIAL Nº 1 ""DRA- CAROLINA TOBAR GARCÍA""",-28.5841599,-58.00719220000001
"COL- POLIMODAL ""OLGA COSSETTINI""",-28.5841599,-58.00719220000001
"ESC- Nº 258 ""RCA-DEL PARAGUAY""",-28.5841599,-58.00719220000001
COL- SECUNDARIO DEL BARRIO ONGAY (IRUPÉ),-27.4979608,-58.8110654
"ESC- NORMAL ""JOSÉ MANUEL ESTRADA""",-27.4597545,-58.82275399999999
"ESC- Nº 808 ""DR- VICTORIANO E- MONTES""",-28.5841599,-58.00719220000001
"ESCUELA Nº 6 ""PUBLIO ESCOBAR""",-27.4659453,-58.82391579999999
"ESC- TÉCNICA ""BRIG- PEDRO FERRÉ""",-28.5841599,-58.00719220000001
"COL- POLIMODAL ""BRIG- GRAL- PEDRO FERRÉ""",-28.5841599,-58.00719220000001
"ESC- Nº 12 ""ALTE- BROWN""",-28.5841599,-58.00719220000001
ANEXO HOGAR ESCUELA,-31.39156,-64.216655
"ESC- Nº 157 ""TERCERA ORDEN S- F- DE ASIS""",-28.5841599,-58.00719220000001
"ESC- Nº 8 ""JUAN BAUTISTA ALBERDI""",-27.4717856,-58.8083622
"ESC- Nº 293 ""TTE- GRAL- DONATO ÁLVAREZ""",-28.5841599,-58.00719220000001
"ESC- Nº 430 ""PROVINCIA DE SALTA""",-25.2529539,-64.7162415
"ESC- Nº 5 ""ESPAÑA""",-27.4646897,-58.81829390000001
"ESC- Nº 14 ""DEL SESQUICENTENARIO""",-27.4682659,-58.797611
"ESC- Nº 158 ""COLEGIO ARGENTINO""",-28.5841599,-58.00719220000001
"ESC- Nº 296 ""PROF- MANUEL CABRAL (H)""",-28.5841599,-58.00719220000001
"COL- SECUNDARIO ""AGOP SEFERIAN""",-27.4728396,-58.7926406
"COL- SEC- ""EDGAR ROMERO MACIEL""",-27.4679426,-58.7976673
"COL- SEC- ""PTE- DR- RAÚL R- ALFONSÍN""",-29.0359006,-58.8637926
"ESC- Nº 323 ""ISLAS MALVINAS""",-27.4479537,-58.78121849999999
"COL- POLIMODAL ""PTE- DR- ARTURO FRONDIZI""",-28.5841599,-58.00719220000001
"ESC- Nº 371 ""GRAL- TORIBIO DE LUZURIAGA""",-28.5841599,-58.00719220000001
"ESC- Nº 606 ""PROV- DE BUENOS AIRES""",-28.5841599,-58.00719220000001
COL- SECUNDARIO DEL B° APIPE,-27.5075019,-56.8536008
"ESC- Nº 955 ""LIBERTADOR DE AMÉRICA""",-27.4902484,-58.7856256
"COL- POLIMODAL ""DR- ELOY ORTEGA""",-28.5841599,-58.00719220000001
"ESC- Nº 369 ""MAESTRO CÉSAR R- TELECHEA""",-27.5458303,-58.7829647
"ESC- TÉCNICA ""FRAY LUIS BELTRÁN""",-27.4836597,-58.7862739
"COLEGIO SECUNDARIO ""J-M-PONCE""",-28.5841599,-58.00719220000001
"ESC- Nº 599 ""DR- A- CONTTE""",-28.5841599,-58.00719220000001
"ESC- Nº 443 ""GRAL- JOAQUÍN MADARIAGA""",-28.5841599,-58.00719220000001
"ESC- Nº 439 ""NIÑAS DE AYOHUMA""",-27.5442753,-58.7270945
"COL- POLIMODAL ""DR- RENÉ FAVALORO""",-28.5841599,-58.00719220000001
"ESC- Nº 957 ""JUAN RAMÓN FERNÁNDEZ""",-28.5841599,-58.00719220000001
"COL- SECUNDARIO ""JUANA F-CABRAL""",-27.5455015,-58.78636299999999
"ESC- Nº 356 ""JORGE LUIS BORGES""",-27.5475469,-58.7850643
"ESC- Nº 403 ""BARTOLOMÉ MITRE""",-29.7096574,-57.0797549
"ESCUELA NORMAL""CNEL- JOSÉ ARMAND""",-28.5841599,-58.00719220000001
"COL- SECUNDARIO ""SAN CAYETANO""",-27.5722087,-58.6950873
"ESC- Nº 605 ""EJÉRCITO ARGENTINO""",-27.5333737,-58.75006759999999
"ESC- Nº 553 ""SAN CAYETANO""",-27.5714889,-58.6954637
"ESC- Nº 65 ""JOSÉ EUSEBIO GÓMEZ""",-29.1413389,-59.261591
"ESC- Nº 511 ""PREF- NAVAL ARGENTINA""",-28.5841599,-58.00719220000001
"ESC- Nº 67 ""ISABEL KING""",-29.1400355,-59.262508
"COL- SEC- ""M- GÜEMES DE TEJADA""",-29.1326612,-59.2610529
"ESC- Nº 66 ""JOSÉ DE SAN MARTÍN""",-27.4536024,-58.6551104
"COLEGIO ""DR- JUAN E- TORRENT""",-27.3702201,-58.5112662
"ESC- NORMAL ""M- I- LOZA""",-28.5841599,-58.00719220000001
COL- SEC- EN GOYA,-29.1442242,-59.2643242
"ESC- Nº 254 ""DR- PEDRO A- DÍAZ COLODRERO""",-28.5841599,-58.00719220000001
"ESC- Nº 207 ""ENRIQUE CARLES VILA""",-29.1486332,-59.2501155
"ESC- Nº 440 ""COMPAÑÍA DE INGENIEROS 7""",-28.5841599,-58.00719220000001
ESC- Nº 601,-29.145947,-59.2537198
"ESC- Nº 463 ""PROVINCIA DE LA PAMPA""",-28.5841599,-58.00719220000001
"ESC- Nº 197 ""MANUEL A- PANDO""",-28.5841599,-58.00719220000001
ESCUELA Nº 370,-29.1712781,-59.26727349999999
"COL- SEC- ""SAGRADO CORAZON DE JESÚS""",-28.5841599,-58.00719220000001
"ESC Nº 118 ""HÉROES DE MALVINAS""",-29.1713375,-59.26097550000001
EFA COEMBOTA EX ESC- 680,-28.5841599,-58.00719220000001
"ESC- Nº 406 ""JOSÉ JACINTO ROLÓN""",-29.1458568,-59.1869548
"ESC- Nº 512 ""SRTA- M- M- CENOZ""",-28.5841599,-58.00719220000001
"ESC- Nº 745 ""ROSA GUARÚ""",-29.2372669,-59.164807
"ESC- Nº 690 ""WOLF SCHCOLNIK""",-29.3929308,-59.2968476
"ESC- Nº 526 ""DR- DIEGO N- DÍAZ COLODRERO""",-28.5841599,-58.00719220000001
"ESC- Nº 861 ""DR- M- SUSSINI""",-29.1755328,-56.6452616
"ESC- Nº 32 ""M- BELGRANO""",-28.5841599,-58.00719220000001
"COLEGIO ""GRAL- MANUEL BELGRANO""",-28.5841599,-58.00719220000001
"ESC- Nº 564 ""DOMINGO FAUSTINO SARMIENTO""",-29.7845623,-58.05495539999999
"ESC- TÉCNICA Nº 1 ""ING- J- J- GÓMEZ ARAUJO""",-39.0186902,-67.63509630000001
"COL- SEC- ""BARNIDIO ABELARDO SORRIBES""",-28.5841599,-58.00719220000001
"ESC- Nº 321 ""HUGO OSCAR ROSENDE""",-29.792996,-58.06566650000001
"ESC- Nº 471 ""16 DE NOVIEMBRE""",-29.7839778,-58.07605710000001
"ESC- Nº 435 ""CENTENARIO""",-29.7924716,-58.04080709999999
"COL- SEC- ""GRAL- J- DE SAN MARTÍN""",-28.8487823,-56.83111169999999
"ESC- Nº 565 ""DR- JUAN B- ALBERDI""",-28.5841599,-58.00719220000001
"ESC- Nº 572 ""CAZADORES CORRENTINOS""",-29.9814218,-58.298942
"ESC- Nº 575 ""JUANA RAMÍREZ DE BARRIENTOS""",-29.6924331,-58.3240437
ESC- Nº 585,-28.5841599,-58.00719220000001
"ESC- Nº 410 ""PCIA- DE SANTA CRUZ""",-28.5841599,-58.00719220000001
"ESC- Nº 38 ""JOSÉ MARÍA PAZ""",-29.3391654,-58.60782990000001
"ESC- Nº 83 ""JOSÉ MANUEL ESTRADA""",-29.1851587,-58.0716063
"ESC- Nº 84 ""ALBINO ARBO""",-29.1864719,-58.07861319999999
"ESC- Nº 82 ""AMADO BONPLAND""",-29.18238909999999,-58.0788899
"ESC- Nº 472 ""PCIA- DE CÓRDOBA""",-28.5841599,-58.00719220000001
"ESC- Nº 85 ""MODESTO T- LEITES""",-28.5841599,-58.00719220000001
"ESC- NORMAL ""MANUEL FLORENCIO MANTILLA""",-29.1884579,-58.0752765
"ESC- Nº 588 ""PCIA- DE SAN JUAN""",-28.5841599,-58.00719220000001
"ESC- Nº 589 ""A- E- BIANCHI DE ARBALLO""",-29.1909294,-58.0754165
"ESC- Nº 974 ""VETERANOS DE MALVINAS""",-28.5841599,-58.00719220000001
"ESC- Nº 973 ""ARTURO H- ILLIA""",-28.5841599,-58.00719220000001
"ESC- Nº 407 ""PCIA- DE JUJUY""",-28.5841599,-58.00719220000001
"ESC- Nº 408 ""RÍO NEGRO""",-28.5841599,-58.00719220000001
"ESC- Nº 587 ""ELVIRA SÁNCHEZ DE MACIEL""",-28.5841599,-58.00719220000001
"COL- SECUNDARIO ""BOQUERON""",-28.5841599,-58.00719220000001
"ESC Nº 768 ""MARGARITA A- DE IRASTORZA""",-29.4711189,-57.5822268
"ESC- NORMAL ""DR- J- ALFREDO FERREIRA""",-28.5841599,-58.00719220000001
"ESC- Nº 620 ""EMMA JULIA MULTEDO""",-30.0136498,-59.52434859999999
"ESC- TÉCNICA Nº 1 ""DR- J- RAMÓN VIDAL""",-28.5841599,-58.00719220000001
"ESC- Nº 279 ""JUAN XXIII""",-30.0226929,-59.5234079
COL- SEC- DE ESQUINA,-30.0184837,-59.53140879999999
"ESC- Nº 53 ""RAMÓN F- GARCÍA""",-30.0011009,-59.5127081
"ESC- Nº 528 ""PABLO PIZZURNO""",-28.5841599,-58.00719220000001
"ESC- Nº 405 ""MARÍA J- FERREYRA DE BARRIOS""",-28.5841599,-58.00719220000001
ESC- NORMAL DEL LIBERTADOR,-28.5841599,-58.00719220000001
"ESC- Nº 637 ""DR- JOSÉ ALFREDO FERREIRA""",-30.2992552,-59.549534
"ESC- Nº 627 ""PROF- REINALDO G- MARÍN""",-29.8682494,-59.4572865
"ESC- Nº 465 ""FRANCISCO BOCALANDRO""",-29.6302663,-58.9843858
"ESC- Nº 635 ""SANTA MARÍA""",-29.6558346,-59.0648366
"ESC- NORMAL SUP- ""DR- HIPÓLITO E- BAIBIENE""",-28.5841599,-58.00719220000001
"ESC- Nº 75 ""DR- JUAN ESTEBAN MARTÍNEZ""",-30.2604359,-57.62726010000001
COL- SEC- MAESTRO DAISAKU IKEDA,-28.5841599,-58.00719220000001
ESC-PRIMARIA COMÚN Nº 959,-28.5841599,-58.00719220000001
"ESC- Nº 458 ""PCIA- DE MISIONES""",-28.5841599,-58.00719220000001
COL- SEC- EN PUERTO VIEJO,-28.5841599,-58.00719220000001
ESC- Nº 530,-28.5841599,-58.00719220000001
ESC- Nº 453,-28.5841599,-58.00719220000001
"ESC- Nº 455 ""PROVINCIA DE FORMOSA""",-28.5841599,-58.00719220000001
"COL- SEC- ""VÍCTOR MANUEL LÓPEZ""",-28.5841599,-58.00719220000001
